T,C
1.35,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.008654816596512327
8.0,0.012931906193625976
10.0,0.02525998797354179
12.0,0.04377726999398677
14.0,0.06893662056524354
16.0,0.104159711365003
20.0,0.1982556825015033
28.56,0.5102316295850872
36.16,0.8503860493084786
47.09,1.3082862297053517
55.88,1.6202621767889354
65.19,1.8768875526157545
74.56,2.0781623571858088
83.91,2.239182200841852
103.14,2.4454888755261575
124.2,2.601476849067949
144.38,2.7021142513529766
166.78,2.7725604329524955
190.17,2.822879134095009
205.3,2.848038484666265
